Category	Frequency	Word	Decade
instruments	1.728659350427017e-06	trumpet	1990
instruments	0.0	bassoon	1800
instruments	2.3023832372266074e-08	bassoon	1810
instruments	3.0043927759631926e-08	bassoon	1820
instruments	2.944799558269358e-08	bassoon	1830
instruments	2.565754921391138e-08	bassoon	1840
instruments	5.9046029746068596e-08	bassoon	1850
instruments	6.123666829938544e-08	bassoon	1860
instruments	7.150129928156982e-08	bassoon	1870
instruments	1.1185869597038734e-07	bassoon	1880
instruments	1.6392430140472268e-07	bassoon	1890
instruments	2.6225823561102265e-07	bassoon	1900
instruments	3.4463381251658077e-07	bassoon	1910
instruments	3.57746720250468e-07	bassoon	1920
instruments	6.392960622890927e-07	bassoon	1930
instruments	6.38954048799092e-07	bassoon	1940
instruments	4.1279173330247e-07	bassoon	1950
instruments	3.425801610156305e-07	bassoon	1960
instruments	3.126233924862015e-07	bassoon	1970
instruments	2.4300674748014757e-07	bassoon	1980
instruments	1.9532235090338913e-07	bassoon	1990
instruments	3.5593133379558737e-06	drum	1800
instruments	3.457258669019474e-06	drum	1810
instruments	3.970900263324936e-06	drum	1820
instruments	3.688584537607997e-06	drum	1830
instruments	3.826949946131289e-06	drum	1840
instruments	4.6177089376521505e-06	drum	1850
instruments	4.660514557424802e-06	drum	1860
instruments	4.922929456717247e-06	drum	1870
instruments	5.506151256812043e-06	drum	1880
instruments	6.392392057578565e-06	drum	1890
instruments	6.1140032590373655e-06	drum	1900
instruments	6.325929169872956e-06	drum	1910
instruments	5.732137837689249e-06	drum	1920
instruments	5.496705760526014e-06	drum	1930
instruments	5.2989679165826965e-06	drum	1940
instruments	4.395551533737291e-06	drum	1950
instruments	3.932035528374142e-06	drum	1960
instruments	3.4894550279400548e-06	drum	1970
instruments	3.027919767767885e-06	drum	1980
instruments	3.01853002835312e-06	drum	1990
instruments	2.9313671195514695e-06	harp	1800
instruments	2.9691534227274333e-06	harp	1810
instruments	3.201662339366059e-06	harp	1820
instruments	3.3374394993719388e-06	harp	1830
instruments	2.6900675542022017e-06	harp	1840
instruments	2.764591838154356e-06	harp	1850
instruments	2.9760399101437374e-06	harp	1860
instruments	2.869932150799882e-06	harp	1870
instruments	2.984531056232664e-06	harp	1880
