table	categories	attribute(s)	effect_size	loocv_effect_sizes	missing
vectors1880	good vs. bad	old	-0.24869127712645883	[-0.23097763373751726, -0.2658490603767147, -0.24869127712645836, -0.2424315733474699, -0.2865269633142996, -0.21858045170377194, -0.25071416556675147, -0.2691527207379845, -0.22314364463502337, -0.27716432747355163, -0.2803695550379119, -0.24424493064311306, -0.21624494274211692, -0.24869127712645836, -0.21821834444437618, -0.2356576900905552]	['yucky', 'unthankful']
vectors1890	good vs. bad	old	-0.18514644141541636	[-0.16365485938612448, -0.18264475113804565, -0.18514644141541645, -0.17341292944027442, -0.23342260327942752, -0.16424771572078373, -0.18076302139845396, -0.19522109645244404, -0.1847605079929288, -0.20784558439309586, -0.21256635035948032, -0.17382966050486195, -0.18514644141541645, -0.18514644141541645, -0.13162790526172713, -0.18566221647897196]	['yucky', 'unthankful']
vectors1900	good vs. bad	old	-0.13007565930137382	[-0.11210464530828618, -0.15082246722962184, -0.1300756593013741, -0.11809405187608264, -0.17464732209495723, -0.11323230279544107, -0.12761750859531046, -0.1487762653329647, -0.11430849711289684, -0.14982724502584846, -0.14573709084290595, -0.1192767986354049, -0.10412423972803597, -0.1300756593013741, -0.10160400191736106, -0.1258248672286742]	['yucky', 'unthankful']
vectors1910	good vs. bad	old	-0.0996196084733462	[-0.08215775391260766, -0.10710884400335714, -0.09961960847334565, -0.08610590226852323, -0.1286551644635931, -0.07709793868433847, -0.10961728953487564, -0.11175379524938527, -0.08394931088855624, -0.11824187709155749, -0.1153895363809439, -0.08467212942558301, -0.07824606490527226, -0.09961960847334565, -0.10442572391376773, -0.09444337788108624]	['yucky', 'unthankful']
vectors1920	good vs. bad	old	0.1702360673350744	[0.17874810520893303, 0.1570285276044934, 0.1702360673350735, 0.17697059003664312, 0.127884930171472, 0.19912159212037464, 0.14705193724706087, 0.1604505573886434, 0.19858218066449565, 0.14272750037113371, 0.1499715560630926, 0.18736656233755794, 0.1974349039534288, 0.1702360673350735, 0.1853207027008723, 0.18399899965922953]	['yucky', 'unthankful']
vectors1930	good vs. bad	old	0.09374883193357142	[0.09967734176092338, 0.08902273672452404, 0.09374883193357152, 0.09651991300182328, 0.06997225340633076, 0.10971666087581532, 0.07524471425889985, 0.09099047270578398, 0.10255158262438949, 0.07664465420754182, 0.0779470368088882, 0.10361717432307344, 0.11395081079485803, 0.09374883193357152, 0.1095822606651646, 0.10295554986346928]	['yucky', 'unthankful']
vectors1940	good vs. bad	old	0.1660406997707185	[0.1923395034187346, 0.17068453835709507, 0.16604069977071878, 0.1695765903169614, 0.13802080289526159, 0.18903837100982823, 0.1620331989246741, 0.1720932141805477, 0.16563932683684077, 0.15042655031620497, 0.13748232810085823, 0.18904328065838646, 0.19147428849537806, 0.16604069977071878, 0.13755337100160228, 0.16604069977071878]	['yucky', 'unthankful']
vectors1950	good vs. bad	old	0.24468269703954587	[0.2396700486658423, 0.2586678384642898, 0.2446826970395458, 0.24250693593579506, 0.2366416961371407, 0.26620768113776033, 0.24703547358214784, 0.25323303884297016, 0.2407292857807257, 0.2313397674517528, 0.22426980948601136, 0.2546026885945435, 0.2765271665024657, 0.2446826970395458, 0.21217356428091588, 0.2446826970395458]	['yucky', 'unthankful']
vectors1960	good vs. bad	old	0.33663854485367395	[0.3373777793572846, 0.3527278374443898, 0.3366385448536741, 0.33877853537135144, 0.33656779762282124, 0.34982418835144785, 0.3388475895132567, 0.3474053100186287, 0.33946735927428723, 0.31586428535934585, 0.3102641994374291, 0.3455658518908898, 0.34495934728519856, 0.3366385448536741, 0.31816019017940955, 0.3366385448536741]	['yucky', 'unthankful']
vectors1970	good vs. bad	old	0.39680480943297897	[0.41806109042724365, 0.38822302630424943, 0.396804809432979, 0.3784218148995819, 0.38761801953950686, 0.4141788381827065, 0.4149797916780401, 0.4142292153032448, 0.40137760191403354, 0.3773933624869963, 0.3670187608681249, 0.4087434166236434, 0.42525900380220444, 0.396804809432979, 0.3676100769333912, 0.396804809432979]	['yucky', 'unthankful']
vectors1980	good vs. bad	old	0.3643835363380538	[0.3777850142401489, 0.36860364942764895, 0.36438353633805365, 0.36325698736521966, 0.3613333221081077, 0.38900370660989025, 0.3593427084651705, 0.3774774894965123, 0.363903293029272, 0.3393083612827455, 0.3409065293545996, 0.36564238236260715, 0.35783647977606897, 0.36438353633805365, 0.3487831842731838, 0.3882295033481508]	['yucky', 'unthankful']
vectors1990	good vs. bad	old	0.37860127791539866	[0.39019770817072585, 0.3782129082736855, 0.3786012779153986, 0.3939111672866408, 0.37997498619829656, 0.38665322523112816, 0.367393385363845, 0.3943053066949148, 0.3801266344974369, 0.36428589038975384, 0.3678141999325744, 0.36179355838789734, 0.38579815443199245, 0.3786012779153986, 0.36433023482177174, 0.38158714847662145]	['yucky', 'unthankful']
vectors2000	good vs. bad	old	0.5948562089221372	[0.5944584366677587, 0.6200685698891589, 0.5948562089221366, 0.6083628653093598, 0.6016448031973444, 0.6106774261322209, 0.5903212237042275, 0.6026820462646908, 0.5826522742986944, 0.5867562967196722, 0.5705539138006263, 0.583443922719231, 0.5965123281756977, 0.5948562089221366, 0.5811971975606189, 0.5900265229217232]	['yucky', 'unthankful']
