Category	Frequency	Decade
scarred	0.003331446169049358	1970
scarred	0.0035233292160786038	1980
scarred	0.003684028194843694	1990
scarred	0.003863840663216623	2000
retarded	8.898570453645078e-05	1810
retarded	0.00019830653437621256	1820
retarded	0.0003218997605679983	1830
retarded	0.00044562691826160745	1840
retarded	0.0005817743463935533	1850
retarded	0.0007128844730591916	1860
retarded	0.0008530341962588229	1870
retarded	0.0009808546612248576	1880
retarded	0.0011064654495860264	1890
retarded	0.0012422937025114023	1900
retarded	0.0013976651018729471	1910
retarded	0.001546144830252526	1920
retarded	0.0016717208116990186	1930
retarded	0.001800338535304487	1940
retarded	0.0019430367459665522	1950
retarded	0.0020942163504271676	1960
retarded	0.002254626384831556	1970
retarded	0.0024033991437617196	1980
retarded	0.0025851977794592463	1990
retarded	0.0027691601863673535	2000
disabled	0.0	1810
disabled	1.0382425180312571e-05	1820
disabled	2.5372740283654652e-05	1830
disabled	3.5578408352650804e-05	1840
disabled	4.656455420879453e-05	1850
disabled	6.495271798706848e-05	1860
disabled	8.177700105476978e-05	1870
disabled	0.0001067046436000131	1880
disabled	0.0001304731010468007	1890
disabled	0.00015350801764309004	1900
disabled	0.000180246186984617	1910
disabled	0.00020966838916017778	1920
disabled	0.00024184987289782296	1930
disabled	0.0002806594914115275	1940
disabled	0.00032830149378536196	1950
disabled	0.0003649430098014064	1960
disabled	0.000420253325183096	1970
disabled	0.0004669561372904345	1980
disabled	0.0005256782384393687	1990
disabled	0.0005888737936768231	2000
schizophrenic	8.179494053350524e-05	1810
schizophrenic	0.00017264116086124025	1820
schizophrenic	0.00026210259266387794	1830
schizophrenic	0.0003625025090569245	1840
schizophrenic	0.00047124919693590007	1850
schizophrenic	0.0005795000652059443	1860
schizophrenic	0.0006992797733261658	1870
schizophrenic	0.0008080597623906212	1880
schizophrenic	0.0009236489715634094	1890
schizophrenic	0.0010394553138607877	1900
schizophrenic	0.0011712598699623183	1910
schizophrenic	0.0013049762561280949	1920
schizophrenic	0.0014169024390568714	1930
schizophrenic	0.001563464277227459	1940
schizophrenic	0.0017100133327990668	1950
schizophrenic	0.0018603813988285014	1960
schizophrenic	0.0020173844347452594	1970
schizophrenic	0.0021727399656081997	1980
schizophrenic	0.0023574171356757715	1990
schizophrenic	0.002552618959449988	2000
short	0.0012844502200261428	1810
short	0.002942737277134596	1820
short	0.004742036330000364	1830
short	0.006618272193327648	1840
short	0.00877591892728058	1850
short	0.010853072986134764	1860
short	0.013147836291655635	1870
short	0.015482283497249004	1880
short	0.017773080080310255	1890
short	0.020095135744453492	1900
short	0.02246136941664832	1910
short	0.024657043046900362	1920
short	0.026876602036956427	1930
short	0.02899870147341385	1940
short	0.030941588323408716	1950
short	0.032798277084301816	1960
short	0.0345403215123267	1970
short	0.03622279560161711	1980
short	0.038033643193354665	1990
short	0.03980298222886737	2000
mute	0.00034066244463954386	1810
mute	0.0008107725494951674	1820
mute	0.0012258120943307769	1830
mute	0.0016990502481015657	1840
mute	0.0021672539347354553	1850
mute	0.0026378996163720133	1860
mute	0.003138034447497196	1870
mute	0.0036216837504122463	1880
mute	0.004106471085025037	1890
mute	0.004559721946553393	1900
mute	0.0050021396188988446	1910
mute	0.00543084074726015	1920
mute	0.005869052320133035	1930
mute	0.0063050286548657864	1940
mute	0.006703661611431368	1950
mute	0.007119258223914319	1960
mute	0.0075345297359445205	1970
mute	0.00792070493433796	1980
mute	0.008300258881257632	1990
